"cs_gb","cv","gpp_gb","nbp","npp_n_gb","runoff"
862644634710855,145256426067491,4906943.54837163,738259938823.419,61172865849318,795473684.747487
395043234953476,391991261766700,3070410.34034841,1458724776615.08,35403401209857.4,827460084.348657
647778183841488,147955329239834,3770472.43056968,804492769797.765,46470530868262.9,969038564.106541
1261471267132203,477793896985252,4891126.25108394,1978698109564.44,46386068198250.9,835600717.089538
684023740307989,72324796712143.9,3421415.35008852,561795096959.605,33478124518198.2,1021736218.02649
465262921913619,14866502883327.6,2903046.19052184,-401930306736.929,37822135377612.7,1046557658.40837
1098461613984217,14088887627.6999,1119.23991978614,1246606120.13517,16317384214.1086,6675996.78154017
420174356768092,13220265117007.6,2665601.60343394,-44437867380.644,34988696100845.6,1219493291.40201
588292586631286,289967333813047,3504605.79769211,1184166281889.66,41992008253721.8,980876436.605615
260396491924816,17438358877494.1,2318056.91695985,193075597833.31,27755683767534.3,1112693122.48331
885380468159869,792047026618022,4663614.86024913,2932970934362.64,67507390802619.9,804630698.830345
826384312992335,16904074273955.3,3600422.94197357,75530930151.8499,46049964377109.8,1038409709.97484
623889704303304,312234702003737,3620310.7892565,1493864959322.89,39509397163043.5,1015130402.73965
949418890763927,141429161064480,2556742.96766762,823349988961.602,32349913231822.7,1159362383.05618
1288718258427415,818824925577968,4506340.20926264,2881530140475.07,77899432350744.4,962743594.963748
489314443736599,191213186309416,3727852.75887913,869780596333.14,31510932793840.5,888090773.005068
260294623172698,71672289647438.6,2462218.08092236,505533511867.587,23794126005699.8,1087479705.53792
1083993948669128,157707842106.594,9295.01143228308,12084063117.6675,113142423662.397,2781378.3039753
303777191467962,278307440986337,2850051.10153489,982598668955.747,29166366895923.1,1027869357.05585
1386883054830172,18937027410194.1,3449175.64615251,519011799828.956,42601545946812,1042516060.75508
671472306645958,20802182743697.9,3671515.65513704,97670691045.3142,40228399756967.2,952329588.585084
578788394790547,452977699301690,3877039.284399,1578499746490.48,55252024946055.8,824793110.894062
1049875083717496,613327582174135,4944642.15091473,2240869167885.33,54298394972953.2,666879928.232367
692495916280999,607232624819691,4404456.11644184,2538385734773.95,51109378928777.9,690227036.809918
532513136809621,51522424831350.7,3359854.08107388,632979249870.277,36053352429277.1,964975395.448819
295257466183991,81487345587803.9,2796875.88677237,341885781720.468,20434663552118.6,848446944.895541
486432497925101,15875174294518.9,3573046.22401812,-279487814148.317,42670632340036,1036914424.56458
1087379434236286,474218139668880,4202221.73610975,1833333885983.51,55566435561367.8,640221754.895286
830618953940364,42390895942969.2,4845677.51229872,123758067063.543,38855881675327.2,936524210.361187
303548599952004,87185271388514.5,2689984.7539387,461487040062.526,24974195039066.9,1190647189.57815
542986618699749,148839539471546,3683400.48542288,457073670653.779,47807119157420.9,1016120788.8505
1124697011992087,189218444125648,3037103.05281564,856095198939.604,40722227403711.1,1047285934.36917
846922236710032,148836780457034,3763552.64010602,382326595330.419,42945819138959.5,1165762053.54861
997181226460018,51145203741136.5,5128836.47411407,487747538411.183,32255321468029.2,934879341.351676
851593265701258,364224591168101,4970980.39090568,1682767309687.43,73443563926656.7,912473851.02221
633157996488394,210918682327093,3814366.26556622,1231519975565.33,49296549173294.9,932200949.598105
993447695620165,341301285231570,5488387.45264515,2041925887445.52,63091741947747.7,808024884.951304
573409571197670,428434057969356,3215581.20653656,1716249463936.22,42415573142398.1,982752867.319418
831691436275298,258417661208597,3767374.41186372,1023908303309.17,36889170789431.1,1005016648.67036
160411336883477,20716469441021.7,1712039.32469085,137371854592.205,15176167721883,1237527312.14223
1310604772721736,295448325317380,4550026.81253917,1347130320101.57,51330277851521,729906848.924584
529731320818192,678959394438018,4440666.20100239,2650554246056.28,53841347202438.2,784503733.44674
60825173001796,26142336312769.9,786755.028219347,192421972763.863,6690417620230.02,1333376857.74953
306179598548903,23395002683445.2,4605683.99740466,85606572072.5741,24319270257631.5,895838085.645011
711172348093971,214503849658875,4830995.4984743,873334094955.509,40075150145017.1,929624353.042483
1537649197919435,273212805994860,3870614.32918171,1015463590406.69,55482793574662,1170194041.22694
489663561495047,159927690885038,2926564.4676401,682239586390.396,39838810454403.4,853843980.524983
460553595177648,541503682270635,4810341.58895679,2071273924555.36,54500218114737.2,1045806977.51762
555232313358160,29376264436333.4,3630921.14930738,132605364233.019,34401235797549.3,1220485169.76362
1229304996590904,91276917511163.5,3415077.14721775,427966791302.007,52044958256623.2,1021336731.09907
1801222433138563,720796004179410,4677044.22335115,3541410683875.45,73073585855891.2,830678100.555282
930176450735802,111733833758.381,13202.4906825954,9164849357.0383,174936265274.301,6044659.24518107
362449239191182,24979973949576.3,2096556.22588008,-100583403314.18,22244895265864.9,1227091892.0785
568174589915337,235323270389509,3635393.32423484,360817324087.049,35259651517777.4,1119008186.74893
1095504389322324,10394825689.8077,976.304656831496,1348243640.46681,13851538485.9995,3191018.40868217
481306781857288,71670800420800.7,2970004.20604303,297839073486.763,31362958103041.5,1161925360.59871
714695187946567,761911409055764,4158240.70239786,2387601527429.31,51804846587886.3,928438798.688482
175675303129143,37496265606025.8,3557548.73693467,244103712713.144,20010131616150.6,1152961165.27641
367369415793508,516472075256635,3207117.33004531,1260689845392.78,31842878175171.5,974681126.798503
1195237177494368,360265115066449,3786091.6641853,1403374963829.97,57542647081477.5,896695258.446261
1069685681885119,217191632990839,3348980.19751783,1114956225549,50683534488617.8,862031329.156341
926589914521285,1216893374570838,3466576.22190352,2980421170702.74,50214034670107.5,856838423.946573
214838144854566,17109654861532.8,1453214.9959189,289818561386.959,14295593521426.5,1292436626.7744
347110671902595,269712945127521,3665899.02716889,1171040483303.47,29733316311444,1160674008.22502
1338220477671942,210064689102092,3347738.80001898,796495576127.623,45675391568209.1,1138183442.47191
228140697469854,11701786423775,2949902.88765699,178754217358.386,31156728533741.5,1218846241.52639
711815470709889,19777299999148.9,3367306.29228849,274479047216.772,28070461315565.2,1064626631.865
465915447618595,414126622521869,2953949.7896319,1085859471886.79,39537291577150,775220204.474139
1137455895367868,129904231005147,3345429.23925842,343025428135.062,44017024651913,1058819642.98093
924807386062324,323613954138073,4378392.74730172,1513429088568.99,47838009801614.1,920596838.083929
364635123124272,100612219178075,2125251.5381067,384191982769.95,21140562119708.5,968637400.768379
457316471040686,166424374661103,2355644.62230362,854998749580.013,34834496860481.5,1135360149.54975
910222648463849,555577642780693,4486840.71681769,2441572038720.95,56824145960527.2,984723638.873983
940454370681326,1451895190045.91,32908.2607510818,23922215053.5326,339449817794.12,10477376.5223908
530652002068901,167585824502027,3923000.68275374,109914983755.762,50686248651103.8,1024937760.1023
537424969569405,44361429801288.4,2481887.11178644,-106368164725.316,24124463877763.6,1226271349.80343
1801522929027978,42925444728024.5,3180309.65730301,616810703715.732,42230303126625.2,1044474338.22405
114205025974550,6908609121006.32,1363360.00213409,71203065738.6386,15394602521428.5,1234459192.51248
700074740869802,87152479724080.6,2818846.92633581,517845406759.584,23163378618469.5,1121193748.5047
741366396220739,753243681591708,4674064.19796798,2450760051301.35,63992699562635.3,972294994.89194
1342778572049817,66292552281980.9,4955921.90722995,504100231728.471,64353033260134.7,1044602285.34219
590821887322317,22432805979621.5,3208420.21052868,54887702492.0638,39782376362762.1,1155345441.8743
288979675545982,20358469841227.8,3861234.81046971,189899474631.678,29765003259685.8,1084722847.25598
754044993034823,125657602355671,3245214.72948664,311598397797.32,53176510468414,938028899.345286
371412083888660,152477543047840,3630109.6958323,1418885707827.52,43288214802794.9,720021352.940325
1037312660612194,3430620568475.2,44723.1729070735,38637667921.8479,598728278474.312,8274226.70256466
NA,NA,NA,NA,NA,NA
829797926828014,21642143205827.1,872287.430528117,345550940915.343,9245422214474.05,154527348.623691
1088810846247637,2879054911352.25,198901.854342578,14975568502.1374,2578606151897.46,44075316.4444368
757265279729304,361295817139906,2740864.80825174,1255670001990.5,46991060353414.2,1033612834.84035
854751184767023,27486199433271.7,4384490.5538308,11758635826.5353,64369126501092.4,1082422554.44372
357758352896162,28190516648609.2,2712187.91031755,108356280626.025,29707784094654.9,1185165686.84203
515744477279848,224352703152731,4100688.29772112,676237359083.054,38790782020478.2,1247090816.73264
1100301842834446,332662505114.747,27399.3225217,19927615037.5824,247620160920.398,66002275.9949397
1174814929849347,2160721850.80671,195.787930289106,-384139101.18885,1931241646.20646,10315360.9370885
559663777580261,32028528402271,2510682.1810894,77628234498.8558,27366572534745.1,1008132018.10341
1109571909928947,13775429091225.1,151913.628170785,127545099884.019,1521660560358.75,53204365.5999799
837619404115499,221297364102692,3322499.64051481,1060487296726.94,42103437339875.1,1144800493.63447
429717614780100,107048637698934,3561466.32794238,372244621796.789,28803430718422.4,914531818.983758
673774125025781,244611476142337,4536130.00368341,1493427101965.65,45925615297355.2,870728974.302058
770359076529562,528677144819928,3767238.24088509,2396696811586.68,57738355177748.3,824189859.775406
963962992036358,363657736.238112,0.16837066240369,-212823168.985744,-253124.299009709,4674011.44666729
1070248914746330,283452121501964,4398139.39747538,1746322430325.93,44071311707336.8,921014878.96031
1202015320994974,36667261242960.8,4353288.91386931,327014151839.531,50702003170352.4,759644215.457261
712483276768467,17117848674353.8,3211997.26298945,-238548694757.451,43991790677248.6,1360620063.9225
303123126688639,39404595636711.5,3545405.56598372,312872359029.415,34369924745150.4,1039592663.56046
1317206469983926,1179249314148944,5026349.17687862,3148141029857.74,72986538504469.3,805626732.092675
1001736869984359,610395026505164,3240066.96120151,3032455929924.3,53330880057726.2,581241877.932282
1581474436647950,310752373597624,4853841.99880641,855489274831.538,80708141094612.6,1043378159.13569
664571678608903,417452670154369,3282259.30626965,1121558916037.18,36974269713061.6,1068870538.99488
1158337201059126,9885263764.45202,904.782478478006,506088528.602357,12546397515.2773,22938939.8205592
60932590061055.2,3892796448469.46,596922.961804238,-102389106448.808,5450309369069.28,1330326667.96598
573971255773663,107192299716888,2311529.93574947,531753341413.48,23244304503547.8,1185593410.83763
479439476879011,62484451353417.5,2705773.03313156,219073283500.089,30910172668979.6,1140918680.18832
1396239835625198,202864801257383,3115854.17504702,727521220361.049,34963308370957,1103000541.591
532938146878686,242229344009787,2920462.83257017,1195972425569.88,29817451413301.6,1056963012.48656
1087049006237934,382621693377323,2891013.72326309,1310605534968.53,31950091685203.9,708624286.590514
1671876012322482,593153417069714,6566643.4852814,2432172215478.33,75574286939308.5,857393742.585501
553685805666468,266609277107756,2887231.93964132,1179716999156.1,27338717366537.2,872734997.915952
525196815094029,361393470279083,4022090.47228241,1714590817736.45,33050401918374.3,993354734.442865
2649694480040786,32438955161863,5312965.17755221,830154163302.933,90226698536160.1,1189427401.32066
588052440342935,42495911834889.6,3268405.25474611,349453038173.332,28170645118540.2,1256742361.82112
250258160677690,7780998770413.78,2047556.53397481,194267767005.899,29675899531681.9,1191642315.83856
1176532193437090,18161331394.2878,1310.29721870156,1961929317.59482,16223139999.35,4661211.50071258
782093734655052,221179078556.487,12300.993383951,4185157857.90521,107860622766.299,6908626.67727671
1347843454840434,975638756565884,6612601.60041752,3969201720329.63,81313609129458.3,943668315.930699
516348186098249,28292007202481.4,4924420.02658848,201544388141.308,64275995036409.7,874659964.92427
2881709776765138,215627825687172,4836400.11203411,951306321038.566,80354134493845.1,1171001641.63251
611209562539766,316936007865986,2901052.52776037,1120076924173.56,41410054297797,843425077.025614
280837944910339,17204186187098.1,3064713.69815558,118300777860.591,23915405036810.9,1347601198.4263
267975429632050,6287161904169.98,1106028.35004862,-116247816472.312,6168387121946.19,1273216835.07702
567329496357288,136596987178698,3958865.56639689,-401365553551.64,55310645517031.4,1206264467.62274
618673875707172,82999441427083,4816531.68246787,-182304391174.748,52739095779356.6,1316599742.20258
1071207890970765,7522776897055.6,626063.624224837,731355274462.701,12076449685554.2,122406353.778608
719723567674924,134025156882109,3107713.58713765,927154254384.826,32141587034718.8,911374684.645226
1173828758800980,694757946223.821,8880.21021569026,12485630759.7331,170822391963.447,12045232.0799526
667692897416166,95610802467367.2,3133972.86491732,365389752362.72,49843468038661.8,1137881723.67993
730913438997688,166811803871167,4731759.43425086,866273332138.294,73009778691976.2,988511975.389625
1145301094549712,6345644858034.37,59098.7972850201,59068672707.5481,718607004197.955,21406808.0292259
812913402872418,14673063659662.6,2796903.68706522,-65234787915.4918,40697975050444.7,1162670691.70825
1177041822287953,0,0,0,0,0
396362380139861,11024969424439.4,2422340.20478273,65658227537.8084,27804004825249.9,1123124374.57895
702651758453380,158553024230199,4126969.15410923,891020156106.951,57197393999804,893009833.486971
262443277768943,50510525758885.7,2511042.25718998,352839315327.357,30963700839448.5,694023789.494335
NA,NA,NA,NA,NA,NA
2218807314632646,241218185856744,4056539.49101406,1347972055657.39,71468441660267.8,858633991.405538
181133128839924,83443728284061.4,2738420.47486321,608166245213.119,23070374080391.4,795679490.201428
141107376319332,20794069634302.9,3053641.58356615,138948504903.357,20034939366168.4,1354892046.35338
333254162299498,139092520697013,2669019.56437013,398463592336.184,28769369283536.4,942306414.376727
1157527663235286,457416266605990,2492346.19887277,1615951005050.98,47057716509157.6,1233848270.33435
NA,NA,NA,NA,NA,NA
310404522840486,74311172751480.9,2198886.37617943,194055930722.169,19088703869345.8,1160455214.62958
1110804417831041,195392556401504,4383287.22867048,1148296408230.4,74614079801669.6,829128497.513487
929219407676258,133818066000558,1641242.38568504,670228702911.034,21975734965557.1,357999503.705511
660662047312693,293323615272115,4989809.30224137,1640867569175.93,63263707554867.5,756552064.893722
1365500220079435,66313810087767.3,2679821.12063107,649244838192.181,33476952181420.1,947547724.024623
1518687025016557,326015157576370,2992028.48649603,1189700910114.79,55722609695413.9,1153343153.35045
